image_path,steering
images/frame_20250227_201327_827755.jpg,-0.100000
images/frame_20250227_201337_059099.jpg,0.100000
images/frame_20250227_201338_092014.jpg,0.100000
images/frame_20250227_201339_559926.jpg,0.200000
images/frame_20250227_201340_391577.jpg,0.200000
images/frame_20250227_201340_891195.jpg,0.200000
images/frame_20250227_201341_557025.jpg,0.200000
images/frame_20250227_201342_223590.jpg,0.200000
images/frame_20250227_201343_755096.jpg,0.100000
images/frame_20250227_201344_257606.jpg,0.100000
images/frame_20250227_201345_557244.jpg,0.100000
images/frame_20250227_201346_190178.jpg,0.100000
images/frame_20250227_201346_923547.jpg,0.100000
images/frame_20250227_201348_523753.jpg,0.100000
images/frame_20250227_201356_321712.jpg,0.200000
images/frame_20250227_201358_021181.jpg,0.300000
images/frame_20250227_201359_754181.jpg,0.400000
images/frame_20250227_201401_553688.jpg,0.300000
images/frame_20250227_201404_486835.jpg,0.400000
images/frame_20250227_201405_352304.jpg,0.400000
images/frame_20250227_201407_819341.jpg,0.400000
images/frame_20250227_201408_319325.jpg,0.400000
images/frame_20250227_201408_919887.jpg,0.400000
images/frame_20250227_201409_119658.jpg,0.400000
images/frame_20250227_201409_485994.jpg,0.400000
images/frame_20250227_201409_717882.jpg,0.400000
images/frame_20250227_201410_018319.jpg,0.400000
images/frame_20250227_201410_252208.jpg,0.400000
images/frame_20250227_201410_519165.jpg,0.400000
images/frame_20250227_201411_484841.jpg,0.400000
images/frame_20250227_201412_252094.jpg,0.500000
images/frame_20250227_201412_484649.jpg,0.500000
images/frame_20250227_201412_718592.jpg,0.500000
images/frame_20250227_201412_985231.jpg,0.500000
images/frame_20250227_201413_285056.jpg,0.500000
images/frame_20250227_201413_818082.jpg,0.500000
images/frame_20250227_201414_483455.jpg,0.600000
images/frame_20250227_201414_751297.jpg,0.600000
images/frame_20250227_201415_384931.jpg,0.700000
images/frame_20250227_201415_616987.jpg,0.700000
images/frame_20250227_201416_516515.jpg,0.700000
images/frame_20250227_201417_051084.jpg,0.700000
images/frame_20250227_201417_251006.jpg,0.700000
images/frame_20250227_201418_051047.jpg,0.800000
images/frame_20250227_201418_250701.jpg,0.800000
images/frame_20250227_201418_483803.jpg,0.800000
images/frame_20250227_201420_016606.jpg,0.800000
images/frame_20250227_201421_049559.jpg,0.900000
images/frame_20250227_201421_283541.jpg,0.900000
images/frame_20250227_201421_516840.jpg,0.900000
images/frame_20250227_201422_583275.jpg,1.000000
images/frame_20250227_201422_816675.jpg,1.000000
images/frame_20250227_201423_816554.jpg,1.000000
images/frame_20250227_201424_815666.jpg,1.000000
images/frame_20250227_201425_048460.jpg,1.000000
images/frame_20250227_201425_248690.jpg,1.000000
images/frame_20250227_201425_515839.jpg,1.000000
images/frame_20250227_201425_848777.jpg,1.000000
images/frame_20250227_201426_116531.jpg,1.000000
images/frame_20250227_201426_282174.jpg,1.000000
images/frame_20250227_201426_582411.jpg,1.000000
images/frame_20250227_201426_648742.jpg,1.000000
images/frame_20250227_201426_915359.jpg,1.000000
images/frame_20250227_201427_115831.jpg,1.000000
images/frame_20250227_201427_348980.jpg,1.000000
images/frame_20250227_201427_648962.jpg,0.900000
images/frame_20250227_201429_748402.jpg,0.400000
images/frame_20250227_201430_015128.jpg,0.400000
images/frame_20250227_201430_248467.jpg,0.400000
images/frame_20250227_201430_448194.jpg,0.400000
images/frame_20250227_201430_680995.jpg,0.400000
images/frame_20250227_201430_914205.jpg,0.400000
images/frame_20250227_201431_147911.jpg,0.400000
images/frame_20250227_201431_648092.jpg,0.400000
images/frame_20250227_201431_847832.jpg,0.400000
images/frame_20250227_201434_347611.jpg,0.400000
images/frame_20250227_201434_580840.jpg,0.400000
images/frame_20250227_201434_746164.jpg,0.400000
images/frame_20250227_201435_045683.jpg,0.400000
images/frame_20250227_201435_447357.jpg,0.400000
images/frame_20250227_201435_647161.jpg,0.400000
images/frame_20250227_201435_846541.jpg,0.400000
images/frame_20250227_201436_047046.jpg,0.400000
images/frame_20250227_201436_247591.jpg,0.400000
images/frame_20250227_201436_646960.jpg,0.400000
images/frame_20250227_201436_879813.jpg,0.400000
images/frame_20250227_201437_113101.jpg,0.400000
images/frame_20250227_201437_347025.jpg,0.400000
images/frame_20250227_201441_645624.jpg,0.700000
images/frame_20250227_201441_846009.jpg,0.700000
images/frame_20250227_201442_012788.jpg,0.700000
images/frame_20250227_201442_245811.jpg,0.700000
images/frame_20250227_201442_479398.jpg,0.700000
images/frame_20250227_201443_445478.jpg,0.800000
images/frame_20250227_201444_379067.jpg,0.800000
images/frame_20250227_201444_811684.jpg,0.800000
